state,year,residual
New Jersey,2010,648.9072786278775
New Jersey,2011,5.385238562565064
New Jersey,2012,-399.7066459224807
New Jersey,2013,-822.1635213627815
New Jersey,2014,-844.5994031434238
New Jersey,2015,-86.472347556155
New Jersey,2016,-130.4185444971663
New Jersey,2017,-490.1789741040993
New Jersey,2018,-1666.0516460126528
New Jersey,2019,-1498.9503111034282
New Jersey,2020,-928.2796767828258
New Jersey,2021,-824.9847591404105
New Jersey,2022,-4323.407916834127
New Jersey,2023,-5813.584233744026
New Jersey,2024,-6681.436547836012
New Mexico,2008,-2007.9177633705403
New Mexico,2009,-2639.083717896414
New Mexico,2010,-2261.1826002680173
New Mexico,2011,-3456.764532931593
New Mexico,2012,-3588.3072033176577
New Mexico,2013,-4193.234859136639
New Mexico,2014,-3607.2137746422522
New Mexico,2015,-3170.5245083648915
New Mexico,2016,-2778.385001194867
New Mexico,2017,-3661.245494024857
New Mexico,2018,-1784.6550192843642
New Mexico,2019,-1918.7596278563433
New Mexico,2020,-166.80398049113865
New Mexico,2021,996.7217837979697
New Mexico,2022,-1981.627848863267
New Mexico,2023,-3023.4012750613183
New Mexico,2024,-4057.0750922099396
New York,2008,-1206.5051533428923
New York,2009,-1345.677924085874
New York,2010,-891.2332277241367
New York,2011,-1640.2054178473772
New York,2012,-1238.7407270079784
New York,2013,-1848.6081268897833
New York,2014,-1501.1700650756975
New York,2015,-1096.069456844285
New York,2016,-1170.0750013752113
New York,2017,-663.1124469581846
New York,2018,-871.0913624638051
New York,2019,-905.4012786738895
New York,2020,-610.690292059051
New York,2021,-1048.1171775891562
New York,2022,-3632.3019457412447
New York,2023,-5102.868792614987
New York,2024,-6032.667939491075
North Carolina,2008,1935.48212618276
North Carolina,2009,1415.9180987981235
North Carolina,2010,-173.95611730078235
North Carolina,2011,-938.333014830423
North Carolina,2012,-491.35164678718866
North Carolina,2013,-1625.5176921477905
North Carolina,2014,-1261.2185924953592
North Carolina,2015,-248.23740612157417
North Carolina,2016,-272.1176209250407
North Carolina,2017,179.77077261642262
North Carolina,2018,204.4275019986526
North Carolina,2019,1215.8990998898735
North Carolina,2020,2703.940905539741
North Carolina,2021,1526.3878727696429
North Carolina,2022,-1437.4454460266643
North Carolina,2023,-2619.9534903188614
North Carolina,2024,-2927.3752854916675
North Dakota,2008,7859.993985533489
North Dakota,2009,6256.582916083622
North Dakota,2010,7353.624994237674
North Dakota,2011,8866.614631853641
North Dakota,2012,10568.347429640678
North Dakota,2013,8564.22719027051
North Dakota,2014,8873.493480523619
North Dakota,2015,7608.524382393676
North Dakota,2016,5752.669070755714
North Dakota,2017,6944.2455497230985
North Dakota,2018,5937.704514362114
North Dakota,2019,4542.996797797445
North Dakota,2020,6686.754044576344
North Dakota,2021,7352.598539656654
North Dakota,2022,6843.058412642946
North Dakota,2023,4896.535555065086
North Dakota,2024,2672.403227451083
Ohio,2008,1153.011254969344
Ohio,2009,142.2092922167285
Ohio,2010,199.68670714306063
Ohio,2011,1004.6152713093106
Ohio,2012,568.4637667301722
Ohio,2013,119.47067378200154
Ohio,2014,458.22655804000533
Ohio,2015,1659.631447115862
Ohio,2016,1561.638535837148
Ohio,2017,1772.1493960058797
Ohio,2018,1053.8656546474667
Ohio,2019,937.6877935472003
Ohio,2020,2863.5839116530406
Ohio,2021,2568.2290977997764
Ohio,2022,-288.92940466590517
Ohio,2023,-1307.9670319183351
Ohio,2024,-2362.2634065289603
Oklahoma,2008,4398.840573425092
Oklahoma,2009,2758.189570243245
Oklahoma,2010,1808.5281138426435
Oklahoma,2011,2123.019706211533
Oklahoma,2012,2458.70315545379
Oklahoma,2013,2676.1677554584603
Oklahoma,2014,3134.5730987079514
Oklahoma,2015,2390.790676259363
Oklahoma,2016,579.3522511063711
Oklahoma,2017,1112.9559949421528
Oklahoma,2018,1958.3215309057705
Oklahoma,2019,2557.1837495955624
Oklahoma,2020,2795.08550306705
Oklahoma,2021,2676.1081317517965
Oklahoma,2022,1243.964442571756
Oklahoma,2023,376.58872589356906
Oklahoma,2024,513.2858075700206
Oregon,2008,-1123.0217360994284
Oregon,2009,-2931.0425480896374
Oregon,2010,-2926.075266654232
Oregon,2011,-3206.0478201163787
Oregon,2012,-3683.8680514868465
Oregon,2013,-3670.4572545411647
Oregon,2014,-3003.3301081191603
Oregon,2015,-2473.0968089348316
Oregon,2016,-1602.215231610462
Oregon,2017,-2320.9689358350224
Oregon,2018,-3649.74218036361
Oregon,2019,-3187.635028419274
Oregon,2020,-1727.102538747793
Oregon,2021,-1746.8141648183082
Oregon,2022,-6656.277129797891
Oregon,2023,-6789.9172291999275
Oregon,2024,-6638.603952104924
Pennsylvania,2008,985.4578588603472
Pennsylvania,2009,383.6691652030204
Pennsylvania,2010,772.1668471111916
Pennsylvania,2011,950.7375998781936
Pennsylvania,2012,1079.3411620445258
Pennsylvania,2013,655.6790698008335
Pennsylvania,2014,1091.4482231541333
Pennsylvania,2015,1447.8532938994394
Pennsylvania,2016,1785.7282366761647
Pennsylvania,2017,798.4641264564998
Pennsylvania,2018,1392.2206465575946
Pennsylvania,2019,1439.7249630134174
Pennsylvania,2020,2804.098314376126
Pennsylvania,2021,2873.3853257847077
Pennsylvania,2022,-627.7597259162285
Pennsylvania,2023,-2542.221510044372
Pennsylvania,2024,-3389.9020525753585
Rhode Island,2008,-1019.5355065920085
Rhode Island,2009,-1498.3837295086996
